104	2487	9	9.98
9029	3009	4	55.31
181	4710	8	63.75
571	499	4	15.75
325	12179	3	28.86
581	130	7	9.42
470	101	53	29.98
308	942	3	8.39
117	16	65	9.17
185	104	52	8.42
1947	176	3	7.92
179	12116	3	23.67
707	126	6	7.14
112	1973	8	15.55
296	335	6	14.45
118	12984	3	16.81
2107	1042	3	18.99
422	985	3	10.73
165	1082	17	92.02
487	1250	6	34.05
251	6001	4	28.2
12397	117	3	16.42
1578	1068	3	18.25
6372	1320	3	28.28
141	6472	3	15.1
180	1462	3	6.88
114	1480	10	21.04
212	267	9	20.62
119	5050	3	8.05
159	2156	4	13.35
195	1742	3	8.7
6494	1410	3	29.86
102	9	313	12.54
3733	101	9	6.92
45	152	14	8.92
109	9457	4	17.27
1116	8628	3	30.67
102	185	86	11.96
830	169	4	6.89
1435	117	6	9.74
188	1354	6	21.78
344	237	5	7.93
5374	3614	7	103.48
5308	4041	3	33.66
105	2779	9	15.23
120	4199	3	6.88
102	288	99	147.8
124	675	27	114.15
126	1389	5	9.61
146	4569	3	12.36
2601	640	3	18.04
1778	1651	3	21.24
9799	113	4	19.33
1985	231	4	16.71
150	1416	9	44.05
16	11948	3	16.03
921	249	3	7.05
245	1636	4	15.73
1534	359	3	12.03
181	420	6	9.77
901	252	3	6.96
1708	4202	9	117.94
3665	240	3	15.46
158	1738	3	6.71
450	2247	6	40.74
11561	105	3	9.07
127	3659	3	7.81
5287	4091	4	49.94
506	514	3	8.15
540	133	54	382.23
145	576	6	9.52
13280	261	3	26.98
3234	188	3	11.68
1664	564	3	14.57
1118	4327	3	24.61
103	5544	6	14.27
675	564	4	15.64
12	188	5	8.02
2521	3529	9	128.18
138	1777	4	9.29
2344	213	3	10.83
1348	115	6	6.69
532	963	3	11.49
465	3702	3	18.81
9792	9791	4	70.59
220	518	4	7.29
236	2281	6	33
137	1486	8	28.93
762	366	3	8.7
746	614	4	16.97
102	2925	10	8.05
321	2073	3	13.1
1745	250	3	10.15
108	1453	8	7.63
173	3282	3	11.58
124	2610	5	14.34
6312	459	3	22.08
132	292	13	18.92
176	4587	3	14.14
1504	8203	3	36.86
231	4609	8	70.11
160	129	27	35.27
45	3074	3	9.5
105	484	43	63.54
3283	105	7	8.75
6043	2381	5	69.71
