159	2517	9
1992	281	10
4113	270	23
46210	2346	1
3446	6299	19
2136	1523	11
49524	8837	17
3069	9763	12
4136	1801	18
122	8220	9
48300	9995	33
16432	9741	15
250	3183	1
51933	6674	33
5202	762	11
1119	4624	13
2362	9381	27
1054	2414	2
1529	269	7
4716	8425	29
125	9393	30
112	444	14
1954	6485	39
195	5454	3
104	6446	6
7843	7572	19
39012	8214	33
11970	6490	1
837	6528	31
101	3626	9
218	9103	12
198	8196	15
5536	5177	15
3172	3540	18
31237	9695	2
108	8884	8
2784	8072	11
29710	1627	22
3978	3475	2
393	7624	0
103	5833	1
10679	6710	29
5907	3880	5
5787	4479	2
129	2502	8
56765	5805	1
2131	3694	15
451	9995	1
14517	4836	10
14	7666	38
41433	39	1
287	668	11
3668	527	42
30660	2708	15
4060	4288	14
3192	1337	16
5156	7890	38
1206	5434	24
163	8452	15
102	4586	0
14	1090	26
47126	679	26
55881	199	10
222	2309	9
123	4688	11
20359	8580	3
14893	670	1
2202	5029	12
2213	3551	38
107	6459	0
107	7952	30
141	6120	26
3077	6522	0
490	8965	26
172	569	0
6650	5561	13
228	5264	4
37025	1638	15
56834	7299	2
18918	8843	35
19793	7827	31
23395	9128	7
29206	8384	3
102	1961	30
2782	5991	5
2906	7029	6
12	7871	25
102	8681	19
37131	6265	34
7009	7783	1
105	4269	17
14364	9065	2
610	9851	11
21418	9753	0
40502	5358	20
2722	7922	25
7316	8529	9
8	1311	30
1355	5153	36
6200	9260	2
7592	797	13
104	8269	6
202	6903	24
305	8883	17
101	8430	31
117	8833	1
145	9124	14
43074	7406	18
29360	5916	11
3119	8303	36
784	8309	16
116	4940	6
48784	6509	10
103	5710	3
105	8808	22
7376	2665	7
14	8481	31
828	246	31
1172	2168	19
2906	487	38
171	6262	29
6547	5244	11
107	8863	0
1220	8482	3
175	1107	23
1110	4915	45
1469	3503	32
25799	6693	35
443	4635	5
103	8742	12
102	7554	5
381	7521	10
185	2892	21
14	9056	9
14	5449	16
24290	1320	0
3625	5005	5
2066	596	1
20407	7921	23
132	9374	1
1283	9205	19
16	2415	1
42940	7602	11
663	5340	14
51004	9229	26
101	3876	13
11021	2449	21
572	2107	16
9680	9500	7
4029	5534	13
24477	4366	13
110	1715	8
205	6547	2
169	8736	8
102	2858	3
119	9554	25
36765	1398	9
14	3819	13
38496	7828	24
19890	5542	20
54365	1931	14
6304	1864	12
1786	9766	29
128	3493	8
2633	5099	20
3133	6905	21
7551	765	13
2315	9630	9
14	3037	34
690	1857	11
1707	7377	11
8	2616	9
5904	6475	8
18646	9208	16
3321	3391	0
970	2078	31
1593	8529	13
153	4787	12
4436	7735	17
1196	5489	1
21199	6559	23
4693	7380	11
886	8141	22
19338	9286	13
58	5306	17
1773	6300	21
3630	2874	2
2	3307	18
955	273	13
3528	8488	26
8184	8419	21
109	4350	17
11751	4012	15
36112	4075	11
2047	5787	5
114	5197	7
2531	9601	23
6714	6496	7
11546	8398	20
15	5416	16
2833	5804	18
622	5799	29
102	2225	36
104	5640	5
56272	5254	17
45102	8725	18
836	1107	35
1254	7338	7
1583	7366	10
769	8469	1
35377	9635	1
102	5838	14
1586	6699	31
8231	4117	3
249	8636	1
32921	8934	9
8585	3500	3
21266	8003	0
28683	5750	10
104	2347	8
9866	9506	23
2588	8282	19
3017	3779	1
17442	2587	15
1234	6831	4
5824	2778	19
1329	8163	17
109	1725	15
9061	4050	5
45232	3321	2
7985	6847	4
127	5696	7
1791	2422	23
3372	3039	21
102	6533	3
105	1093	21
47109	6407	20
113	7130	35
29053	9759	5
106	4977	19
375	978	12
28882	8320	9
170	4801	11
113	7011	24
186	798	0
7508	3273	7
15381	9472	23
2126	9124	2
1840	6529	19
1	7504	20
14693	3038	11
2	2631	14
333	8435	16
2275	7950	20
110	9945	15
27396	293	2
1699	292	20
220	9892	14
34470	6258	38
13446	2889	29
14	4244	39
3705	1373	31
40472	7980	22
2	9575	16
12613	9596	11
7699	2995	3
52166	9556	18
3903	4856	16
15963	3724	15
3217	3363	7
14	6115	30
5155	1729	0
5196	6839	9
3932	9910	33
4796	2172	14
58028	7841	40
23393	9446	8
328	8360	5
4624	9903	15
45366	5903	16
108	7130	29
3190	6205	11
3202	553	10
12087	8125	7
150	187	8
226	5652	11
1367	7270	23
217	5987	6
46119	7311	1
103	1131	20
2381	3608	17
29689	2708	11
110	5693	5
2127	268	12
3370	1822	36
1649	9848	2
3220	8873	29
502	4468	4
2368	2169	1
159	9977	22
106	8683	34
2	4108	14
2	2721	3
2	7395	9
44823	1218	25
18778	9181	32
113	3052	1
4444	6981	9
9025	2049	9
101	9806	2
122	8563	2
2143	6508	31
1752	2223	0
9868	9610	0
103	2627	19
1900	7253	12
14	8618	28
52050	4468	9
263	5332	7
106	539	22
14516	8896	16
55414	7575	0
1251	3637	7
8977	7694	1
241	3524	13
128	3973	17
130	7850	0
52926	7104	11
40352	6100	17
15966	4580	17
2037	6946	8
1968	4961	25
127	8910	5
31732	954	0
8259	8567	31
579	2780	33
4652	5333	3
160	6482	12
969	4698	12
26801	4471	14
1161	8832	4
273	9707	22
14	377	32
41177	832	1
215	1127	0
507	6147	29
113	4261	4
2338	9460	30
3494	3202	15
101	4198	15
14	7331	20
14	4172	19
7344	1833	24
5800	6659	9
103	8429	13
31181	9496	2
4622	8879	6
24972	6657	10
9069	3438	31
1530	5388	29
11379	1316	8
1664	3888	7
1122	5239	15
14	9252	28
333	4469	4
19321	3814	29
26598	6189	10
1305	3166	18
326	4195	26
7013	6371	7
830	4032	19
106	91	20
103	711	8
36227	9948	30
31834	7648	2
13592	6084	21
102	8143	18
529	9087	23
158	5591	10
105	5197	14
3602	3690	6
2073	6334	11
159	2109	0
5797	3336	21
2924	3974	10
107	5918	18
1218	7565	24
41289	4479	22
211	2221	8
880	8445	10
14	775	27
238	2882	13
40818	206	10
40326	8854	29
7050	3486	8
102	1827	9
470	7848	24
16964	8986	31
14	9543	22
165	9088	0
20569	5229	0
175	4637	28
113	8800	3
106	385	37
242	7260	23
33632	8580	31
14	8752	47
40403	1896	5
1354	5397	4
