101	8458	23
651	7451	12
9409	5554	2
196	1385	13
194	3143	4
1033	1074	5
2969	324	32
5529	1451	6
14	2432	13
1273	7576	1
167	8837	10
940	94	0
673	8889	2
104	3948	12
566	510	1
131	6155	9
131	6638	21
2409	6983	9
124	6299	1
8	1547	19
221	7211	5
291	9707	3
179	9573	0
572	9294	9
126	7222	22
3440	7344	18
213	619	23
14	8004	17
24440	8326	11
1980	793	21
21762	751	2
101	9794	3
319	8200	14
104	2944	18
845	6569	5
142	7816	9
253	2002	7
101	1996	12
102	2447	30
470	8099	0
19306	442	16
14	6859	5
106	4570	9
2093	8478	10
12	2376	1
1393	4619	7
12	617	4
1743	9967	6
110	272	4
637	5182	2
3541	8067	22
101	934	4
1036	3197	21
4679	4056	5
146	4229	1
107	627	17
101	5121	18
562	8277	1
347	883	26
24575	8141	7
108	6836	2
9440	4287	1
45	7450	18
29376	4237	1
126	7920	2
14	2274	19
625	6696	11
12	4160	18
2684	1426	7
569	7367	6
232	46	0
114	1771	15
208	2498	3
1119	9129	10
25396	6580	12
1121	7181	3
242	2750	22
16152	3367	0
14	6080	10
108	6416	8
1301	3693	22
158	6678	16
351	3227	14
141	2885	1
295	2852	37
490	6589	23
30484	8578	8
590	5613	27
104	4075	14
353	6819	3
101	2182	21
340	7598	10
101	3912	23
129	3976	4
419	733	3
161	5530	2
173	8668	5
103	6458	35
101	3757	11
149	4675	34
101	2625	21
1519	8686	5
30841	5264	6
3708	8316	8
12006	4735	5
2650	2011	14
112	7028	17
119	4777	26
335	5711	2
637	4983	2
13804	9796	14
83	7885	11
102	5674	5
108	6259	2
4449	5228	16
12	5449	16
907	1718	10
284	5024	7
138	6453	4
7569	3846	7
104	6597	30
12457	7838	4
118	6406	21
460	8065	21
673	6111	9
115	4420	5
175	7253	0
19691	6773	16
1746	4901	7
6346	7492	1
19421	7418	1
376	31	40
114	2664	18
102	5476	3
643	1863	12
1078	9771	13
734	893	34
1759	7369	7
110	6260	13
45	8318	20
570	9645	14
23647	5543	16
1986	2844	23
105	3364	18
108	1177	11
5413	7218	11
6225	6329	7
956	9982	18
101	3655	7
107	1366	11
3837	9364	11
101	2156	25
102	3342	14
187	4829	6
976	6049	4
1345	6010	19
102	7298	6
