537	107	3	4.88
104	2477	6	36.38
12	3355	3	9.63
113	1964	3	16.43
18	2645	4	44.59
20	294	4	24.29
683	107	5	14.71
820	101	9	21.36
112	1232	3	12.47
416	264	4	32.67
151	215	4	16.97
12	2085	9	42.67
39	210	3	4.21
106	2442	3	13.66
101	2375	3	7.12
2239	914	3	42.62
101	2300	3	6.46
5082	1647	3	53.88
269	149	6	34.41
111	212	84	607.79
2435	14	4	13.09
116	1123	3	13.26
101	5501	4	23.94
2830	115	3	18.73
275	881	3	28.29
164	720	6	50.79
116	1191	4	20.57
110	1615	8	54.18
103	4251	3	17.16
139	997	6	49.2
4918	12	4	23.5
118	604	10	59.95
106	2081	5	26.58
103	909	4	10.89
3649	101	5	24.63
104	3400	3	15.66
124	469	4	16.16
2300	104	4	18.58
115	150	13	24.96
791	101	8	16.44
3978	104	3	17.21
800	326	3	28.99
103	655	7	21.62
12	2124	3	6.17
103	603	11	43.31
2445	114	4	26.68
115	573	3	8.64
1376	107	3	10.29
106	1766	4	17.48
128	6892	3	33.82
3764	866	4	65.31
109	2414	4	23.91
107	1406	3	10.29
127	431	5	23.05
2791	101	4	13.26
672	101	7	10.1
1607	120	7	54.21
572	112	3	7.91
1131	12	9	26.55
12	7183	3	17.62
127	2658	3	23.16
795	103	3	5.7
413	14	7	5.79
118	992	10	72.64
111	1324	8	52.24
102	2861	6	35.18
178	1249	9	100.19
1021	2689	3	45.11
457	103	7	16.46
7158	14	3	18.76
116	117	50	94.66
107	3123	3	15.91
446	14	6	4.45
102	6215	3	22.03
2418	101	3	7.12
101	835	5	6.63
4042	152	3	33.06
527	138	4	22.61
280	104	12	28.24
110	2601	4	25.57
102	1216	10	49.14
111	4716	3	21.64
181	4355	3	35.13
2495	120	6	51.61
156	323	8	56.19
1092	621	5	64.63
117	580	4	15.43
107	2493	4	21.58
1106	154	8	79.81
103	3734	3	15.61
268	107	15	46.92
101	3144	4	14.69
987	102	3	5.49
12	1113	6	12.34
487	111	3	6.7
104	376	4	4.25
109	1395	6	33.31
143	304	9	57.91
107	711	6	20.21
190	600	3	21.68
1677	12	3	4.67
101	6454	3	17.96
104	2814	4	20.88
113	1349	6	36.51
101	269	11	6.67
101	327	21	42.9
189	496	3	20.1
114	106	217	586.24
107	1992	3	12.69
609	105	3	4.65
5304	12	3	13.24
1602	12	8	28.53
480	12	7	5.71
115	960	3	11.74
1951	14	4	11.22
12	2789	3	7.58
299	366	7	65.85
140	580	3	16.44
126	136	7	7.82
229	113	7	15.72
107	3384	6	50.71
128	2992	4	35.56
158	154	3	7.88
408	118	4	12.63
140	197	3	8.13
315	120	3	6.93
140	127	5	5.14
192	429	25	283.31
232	138	5	19.94
266	101	38	105.55
12	160	22	5.07
225	159	5	24.93
801	184	3	23.35
1862	12	3	5.11
215	516	7	64.19
1690	108	4	19.22
11	105	4	9.48
103	486	7	17.26
106	1567	6	31
1464	12	5	11.37
103	554	7	19.4
109	2825	7	57.3
106	1431	3	9.9
222	415	3	20.76
418	5	4	29.4
101	369	11	12.3
248	672	4	36.34
103	1245	5	18.92
815	119	3	12.28
292	143	4	18.81
113	1538	4	21.71
3094	101	3	8.81
118	1501	4	23.84
360	109	4	7.35
844	101	4	3.88
102	3375	5	31.37
104	6331	3	23.86
110	490	3	6.03
340	111	7	21.55
133	381	5	24.3
104	324	5	5.78
3268	101	3	8.81
101	472	8	8.49
575	104	13	54.76
1480	5215	4	77.53
534	1732	3	37.12
201	158	5	23.14
201	113	5	6.76
176	127	13	50.03
263	45	3	6.9
169	103	16	19.7
2540	12	3	6.82
1049	14	5	9.64
104	181	11	9.69
458	105	4	5.99
117	183	6	10.18
2302	137	3	23.98
104	1553	6	28.91
3633	12	4	16.08
12	319	10	6.58
102	2451	5	24.56
140	183	3	7.34
114	2761	3	18.71
1800	12	8	32.16
109	2828	5	34.7
136	207	16	92.25
102	657	17	77.33
112	1099	4	18.17
173	238	3	13.76
102	605	29	174.9
102	806	10	38.74
125	1582	3	18.88
305	107	7	13.68
136	508	7	45.27
168	186	8	44.04
123	417	4	14.99
107	1867	5	26.16
1099	101	6	12.92
225	495	7	64.04
144	120	6	5.76
102	859	3	4.62
104	1194	3	8.21
139	143	5	10.79
329	103	7	11.96
109	171	38	145.98
12	452	14	25.82
101	3792	3	9.95
2046	112	4	23.61
177	106	39	129.82
309	14	8	4.47
833	108	3	8.27
102	2195	3	10.18
118	450	5	19.02
133	219	10	46.83
109	1440	5	25.58
101	2977	3	8.81
129	496	3	11.9
1501	12	3	3.92
1916	14	3	6.07
111	923	3	10.63
6117	12	3	17.62
107	2444	3	14.07
5187	12	3	13.24
107	2392	4	21.58
118	1217	6	38.9
224	115	7	15.33
336	107	6	11.34
1144	101	4	5.93
116	2421	3	18.56
116	4656	3	23.23
336	305	4	32.22
137	423	4	19.65
184	163	7	35.1
2053	101	3	5.89
1064	101	4	5.57
132	911	3	17.23
1765	104	3	10.19
138	767	3	17.4
318	113	4	8.61
362	539	8	89.13
102	1833	4	14.51
1693	101	3	4.94
108	1143	3	10.11
116	129	83	322.38
110	758	3	8.49
106	4409	3	18.26
739	113	4	15.51
286	118	3	5.72
146	111	11	13.78
106	2235	4	19.97
148	978	7	64.18
1246	126	3	17.28
2103	12	3	5.61
2607	14	5	20.95
102	1108	12	61.64
2960	12	3	8.5
1434	14	3	4.48
109	5261	3	22.65
1900	254	4	46.15
